Id,tweet (without @),source,Harmful,Looked up word
1,sale arabe ( arrête avec tes hontes toi ),1,1,arabe
2,y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,1,1,arabes
3,jparle de qui jveux quand elles se font baiser par rebeus ça prend le seum tt d’un coup allez bize,1,1,baiser
4,tellement sexy franchement t'ai baisable ^^,0,1,baisable
5,Je te prend matin midi et soir biatch comme si t’étais un antibiotique,0,1,biatch
6,Une sacrée biatch toi après parle de moi,0,1,biatch
7,Ça veut dire que c'est bientôt l'heure de la bifle pour toi.,0,1,bifle
8,Vsy jvais te digi bifle,0,1,bifle
9,bah non mais les rebeus aussi ont une grosse bite — bon tg ,1,1,bite
10,les nouvelles yeezy elle pue sa grand mère c’est pour les renois pour les rebeus gile-fra suceur de bite et qui suivent la mode,1,1,bite
11,"Pour l’instant on aurait besoin d’une perche de 2 mètres pour que tu me signes le boob. On va attendre. 😒

J’avoue. J’ai eu des offres de toutes les couleurs et de toutes les longueurs mais ça c’est original. Une étoile dorée à son cahier!",0,1,boob
12,Le plan sur le side boob de Rihanna ? Dios Mio ,0,1,boob
13,J’ai fisteur de boules !! *_____*,0,1,boules
14,"T'as les boules ?! 🤣🤣😂🤣
Des voitures et des drapeaux ne sont pas des électeurs, ça va bientôt se voir 😂😂",0,1,boules
15,"Une belle ordure protégée par la Caste et la bien-pensance. Un jour lui, Cohn-bendit qui adorait que des fillettes jouent avec sa braguette et les autres, paieront pour leur ignominie et leurs crimes",0,1,braguette
16,"Le président a dit : ""la république je la nique"" : si certain ouvrent leur braguette, il est important d'aller vers eux. 
👍👍👍 Les LREM = champion toutes catégories de la plus grosse ânerie creuse faite de mots pleins",0,1,braguette
17,monsieur le mongol n'a pas de burnes ?,1,1,burnes
18,"Ta réponse ne m’intéresse pas. Tu n’es juste qu’un branle burne derrière son écran oscillant entre Twitter et youporn.  Une petit bite de plus qui insulte ceux qui nous protege, et le premier à chialer quand ils ont un problemes Tu n’es pas un homme. Mais une merde",0,1,burne
19,"Karelle elle mange vraiment n’importe quoi, un jour elle va goûter son caca",0,1,caca
20,c'est le caca du groupe,0,1,caca
